id,name,borough,"distance to center, m",rating,phone,twitter,instagram,facebook,timeframes,morning_work,evening_work,weekend_work,free_trial_lesson,single_lesson_price,month_price,women_only
51d6f5bc498eae44762af325,yoga institut,Altstadt-Lehel,2215,NA,NA,NA,NA,NA,NA,0,1,0,1,18.00,90.00,0
533d7a0b498eec57aa03472b,Yogastudio Mami & Me,Schwabing-West,3041,NA,+4915210540342,NA,NA,NA,NA,1,1,1,0,10.00,85.00,1
55708236498e5d3055e6cfff,Patrick Broome Yoga,Altstadt-Lehel,2384,NA,NA,NA,NA,NA,NA,1,1,1,0,18.00,108.00,0
4ccc31d0ba0a548159753b59,Werkstatt 7,Ludwigsvorstadt-Isarvorstadt,2351,NA,+498951717640,NA,NA,NA,NA,1,1,1,0,16.00,105.00,0
55eef8ba498e3c52398ad862,MahaShakti Yoga Studio,Maxvorstadt,2552,NA,+49892725608,NA,NA,NA,NA,1,1,1,1,19.00,120.00,0
4b54783ef964a5207dbc27e3,Jivamukti Yoga,Altstadt-Lehel,2995,8.6,+498945226522,NA,NA,NA,NA,1,1,1,0,15.00,115.00,0
5ca9e9ea46e1b6003907860a,Raum für Yoga,Neuhausen-Nymphenburg,1314,NA,NA,NA,NA,NA,NA,0,1,0,0,12.00,130.00,0
4b46299ff964a520a51826e3,Jivamukti Yoga,Au-Haidhausen,4412,NA,NA,NA,NA,NA,NA,1,1,1,0,15.00,85.00,0
5507d639498e066081fd2abc,Yoga am Engel,Bogenhausen,4503,NA,NA,NA,NA,NA,NA,1,1,1,0,15.00,120.00,0
5be076b246e1b6002c6f5c77,Urbanyoga Munich,Schwanthalerhöhe,769,NA,NA,NA,NA,NA,NA,1,1,1,0,15.00,75.00,0
5cd0711cf2554e002cb9d1db,B-Yoga,Au-Haidhausen,4853,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,160.00,0
512f90ade4b0f6e426507c83,Yogabee,Schwanthalerhöhe,1319,8.0,NA,NA,NA,NA,NA,1,1,1,0,20.00,160.00,0
5aab8d2e59c42315a11ee450,Yoga Katja Bienzeisler,Maxvorstadt,2724,NA,+4917610424130,NA,NA,NA,NA,0,1,0,0,16.00,104.00,0
4cb767a1035d236a2151c54e,Bikram Yoga München,Neuhausen-Nymphenburg,1088,7.1,+498913011218,NA,NA,NA,NA,0,1,1,0,23.00,149.00,0
513f93dde4b0f02c725ebcc8,Yoga Zentrum Schwabing,Schwabing-West,3550,NA,NA,NA,NA,NA,NA,0,1,1,0,11.00,110.00,0
4bcc9d4368f976b058f06283,Sivananda Yoga,Maxvorstadt,1739,NA,+498970096690,sivanandayogade,NA,NA,NA,1,1,1,0,13.00,78.00,0
525c289a11d2dc48548c47a2,Studio One Tanz&Yoga,Laim,3001,7.4,+498988906075,adinaketisch,NA,Studio One - Tanz & Yoga,NA,0,1,0,0,16.00,75.00,0
4e437e76091a286cc7f7a64c,Bikram Yoga Schwabing,Schwabing-West,3464,NA,NA,NA,NA,NA,NA,1,1,1,0,22.00,129.00,0
5237640d498e0342a223f86a,Yoga und Naturheilpraxis Simone Klatt,Schwanthalerhöhe,678,NA,NA,NA,NA,NA,NA,0,1,1,0,18.00,105.00,0
50dc4ba1e4b06b91b133c5ef,Powerhaus,Au-Haidhausen,3481,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,120.00,0
4b82cc1cf964a520a0e530e3,VISION yoga mandiram,Schwanthalerhöhe,847,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,100.00,0
5d8b58b8e26fad0009255994,Munich Collective,Schwabing-West,3444,NA,NA,NA,NA,NA,NA,0,1,1,0,16.00,NA,0
5130d0b1e4b02118280aa59b,Thenyoni Yogaloft,Schwabing-West,9029,NA,+491754648335,NA,NA,NA,NA,0,1,0,0,14.00,NA,0
4c3cd1077d002d7f2af6ae18,Prana Iyengar Yoga Institut,Altstadt-Lehel,2983,NA,NA,NA,NA,NA,NA,0,1,0,0,20.00,90.00,0
51af4d48498e86292d5d5262,Bikram Yoga Station,Obergiesing,5294,NA,+498989069727,dieyogastation,dieyogastation,Die Yoga Station,NA,1,1,1,0,22.00,129.00,0
584571be0b565625e88dabaa,Yoga in Solln,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,7944,NA,+498951668766,NA,NA,NA,NA,0,1,0,0,12,100.00,0
5009250ae4b034274e5801e6,Balance - Wellness for Women,Schwanthalerhöhe,756,NA,+498912391342,NA,NA,NA,NA,1,1,1,0,24.50,125.00,1
56e3283fcd1044008999b885,Happy Belly Yoga,Schwanthalerhöhe,886,NA,+4917622789136,a_kampermann,NA,Happy Belly Yoga,NA,1,1,1,0,10.00,99.00,0
4e0afe45d22dbfe2dd783748,Patrick Broome Yoga Studio Schwabing,Schwabing,2262,NA,NA,NA,NA,NA,NA,1,1,1,0,18.00,108.00,1
4cd52d5ba5b346883e4d8c50,Woyo Club,Schwanthalerhöhe,701,7.4,+498914330123,NA,NA,NA,NA,1,1,1,0,20.00,85.00,0
52ab345111d2122b5b16fdd3,Yoga Atelier Blütenstraße,Maxvorstadt,2417,NA,NA,NA,NA,NA,NA0,0,1,0,0,18.00,85.00,0
4edd14806da1642c5fe40371,Yam Yoga,Schwabing-West,3396,NA,NA,NA,NA,NA,NA,0,1,1,0,18.00,108.00,0
5d558645159b160008b7613b,Yoga Garden,Altstadt-Lehel,2740,NA,NA,NA,NA,NA,NA,0,1,0,0,10.00,130.00,0
54eee14a498e2cd9fcfa53e1,Groupfit,Trudering-Riem,8695,NA,+498945450666,groupfit_de,NA,groupfit.de,NA,1,1,1,1,20.00,110.00,0
4d59764a9b302d4378142434,Vijnana Yoga München,Au-Haidhausen,4832,NA,+4981571733,NA,NA,NA,NA,0,1,0,0,16.00,180.00,0
51002db6e4b09a8cd36ee218,iYoga,Ludwigsvorstadt-Isarvorstadt,2216,NA,NA,NA,NA,NA,NA,1,1,1,0,22.00,175.00,0
4da89f7c4df0af29b7123ed3,Jaya Yoga,Ludwigsvorstadt-Isarvorstadt,2888,NA,NA,NA,NA,NA,NA,0,1,1,0,15.00,100.00,0
